Batch,scan005
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,19/06/2025
Time Collected,04:01:19
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,97.187
395.0,97.542
396.0,98.532
397.0,99.914
398.0,101.372
399.0,101.987
400.0,102.331
401.0,101.344
402.0,99.121
403.0,98.677
404.0,98.636
405.0,97.393
406.0,97.196
407.0,96.097
408.0,95.021
409.0,97.954
410.0,99.781
411.0,97.728
412.0,97.220
413.0,99.113
414.0,100.306
415.0,100.320
416.0,99.046
417.0,97.061
418.0,96.129
419.0,96.129
420.0,97.300
421.0,99.903
422.0,101.647
423.0,101.771
424.0,100.845
425.0,98.448
426.0,96.508
427.0,96.587
428.0,98.197
429.0,100.563
430.0,100.769
431.0,99.558
432.0,101.603
433.0,104.253
434.0,101.895
435.0,98.529
436.0,98.966
437.0,98.920
438.0,97.288
439.0,97.547
440.0,97.889
441.0,98.249
442.0,99.232
443.0,97.937
444.0,97.186
445.0,98.359
446.0,98.305
447.0,99.168
448.0,100.949
449.0,100.755
450.0,100.153
451.0,99.617
452.0,98.293
453.0,98.175
454.0,99.394
455.0,99.316
456.0,98.499
457.0,99.113
458.0,100.277
459.0,100.140
460.0,99.231
461.0,99.110
462.0,99.494
463.0,100.090
464.0,100.943
465.0,100.854
466.0,100.515
467.0,100.599
468.0,99.498
469.0,98.630
470.0,99.710
471.0,100.764
472.0,100.934
473.0,100.654
474.0,99.698
475.0,98.708
476.0,99.115
477.0,100.888
478.0,101.805
479.0,101.023
480.0,99.989
481.0,99.464
482.0,99.721
483.0,100.367
484.0,100.190
485.0,99.867
486.0,100.291
487.0,100.575
488.0,100.693
489.0,100.760
490.0,100.159
491.0,99.640
492.0,99.975
493.0,100.415
494.0,100.451
495.0,100.199
496.0,99.556
497.0,99.144
498.0,99.510
499.0,99.877
500.0,99.894
501.0,99.945
502.0,100.066
503.0,99.908
504.0,99.611
505.0,99.506
506.0,99.255
507.0,99.331
508.0,99.844
509.0,99.927
510.0,100.227
511.0,100.971
512.0,100.926
513.0,100.277
514.0,100.177
515.0,100.233
516.0,99.739
517.0,99.379
518.0,99.618
519.0,100.136
520.0,100.161
521.0,99.510
522.0,99.495
523.0,100.198
524.0,100.417
525.0,100.252
526.0,100.185
527.0,99.930
528.0,99.708
529.0,100.340
530.0,101.224
531.0,101.146
532.0,100.657
533.0,100.428
534.0,99.893
535.0,99.327
536.0,99.610
